TagID 190000 	 TagName DepthMaxDepthSamples 			 Size 4 	 Type 1 	 TagType 0 
TagID 190001 	 TagName DepthAvailableDepthStreamConfigurations 			 Size 16 	 Type 1 	 TagType 0 
TagID 190002 	 TagName DepthAvailableDepthMinFrameDurations 			 Size 32 	 Type 3 	 TagType 0 
TagID 190003 	 TagName DepthAvailableDepthStallDurations 			 Size 32 	 Type 3 	 TagType 0 
TagID 190004 	 TagName DepthDepthIsExclusive 			 Size 1 	 Type 0 	 TagType 0 
TagID 190005 	 TagName DepthAvailableRecommendedDepthStreamConfigurations 			 Size 40 	 Type 1 	 TagType 0 
TagID 190006 	 TagName DepthAvailableDynamicDepthStreamConfigurations 			 Size 32 	 Type 1 	 TagType 0 
TagID 190007 	 TagName DepthAvailableDynamicDepthMinFrameDurations 			 Size 32 	 Type 3 	 TagType 0 
TagID 190008 	 TagName DepthAvailableDynamicDepthStallDurations 			 Size 32 	 Type 3 	 TagType 0 
TagID 190009 	 TagName DepthAvailableDepthStreamConfigurationsMaximumResolution 			 Size 16 	 Type 1 	 TagType 0 
TagID 19000a 	 TagName DepthAvailableDepthMinFrameDurationsMaximumResolution 			 Size 32 	 Type 3 	 TagType 0 
TagID 19000b 	 TagName DepthAvailableDepthStallDurationsMaximumResolution 			 Size 32 	 Type 3 	 TagType 0 
TagID 19000c 	 TagName DepthAvailableDynamicDepthStreamConfigurationsMaximumResolution 			 Size 64 	 Type 1 	 TagType 0 
TagID 19000d 	 TagName DepthAvailableDynamicDepthMinFrameDurationsMaximumResolution 			 Size 32 	 Type 3 	 TagType 0 
TagID 19000e 	 TagName DepthAvailableDynamicDepthStallDurationsMaximumResolution 			 Size 32 	 Type 3 	 TagType 0 
TagID 1a0000 	 TagName LogicalMultiCameraPhysicalIDs 			 Size 32 	 Type 0 	 TagType 0 
TagID 1a0001 	 TagName LogicalMultiCameraSensorSyncType 			 Size 1 	 Type 0 	 TagType 0 
TagID 1a0002 	 TagName LogicalMultiCameraActivePhysicalId 			 Size 32 	 Type 0 	 TagType 0 
TagID 1b0000 	 TagName DistortionCorrectionMode 			 Size 1 	 Type 0 	 TagType 0 
TagID 1b0001 	 TagName DistortionCorrectionAvailableModes 			 Size 3 	 Type 0 	 TagType 0 
TagID 1c0000 	 TagName HEICAvailableHEICStreamConfigurations 			 Size 12800 	 Type 1 	 TagType 0 
TagID 1c0001 	 TagName HEICAvailableHEICMinFrameDurations 			 Size 12800 	 Type 3 	 TagType 0 
TagID 1c0002 	 TagName HEICAvailableHEICStallDurations 			 Size 12800 	 Type 3 	 TagType 0 
TagID 1d0000 	 TagName HEICInfoSupported 			 Size 1 	 Type 0 	 TagType 0 
TagID 1d0001 	 TagName HEICInfoMaxJpegAppSegmentsCount 			 Size 1 	 Type 0 	 TagType 0 
TagID 1c0003 	 TagName HEICAvailableHEICStreamConfigurationsMaximumResolution 			 Size 12800 	 Type 1 	 TagType 0 
TagID 1c0004 	 TagName HEICAvailableHEICMinFrameDurationsMaximumResolution 			 Size 12800 	 Type 3 	 TagType 0 
TagID 1c0005 	 TagName HEICAvailableHEICStallDurationsMaximumResolution 			 Size 12800 	 Type 3 	 TagType 0 
TagID 80000000 	 TagName org.codeaurora.qcamera3.internal_private.private_property 			 Size 171008 	 Type 0 	 TagType 1 
